PlatePosition,PCR,ID,OldName,MergedName,NewName
D10,pcr2,D10-pcr2,infko_m-black_bone_marrow_pcr2,infko_f-black_spinal_cord,infko_f-black_spinal_cord_pcr2
D10,pcr3,D10-pcr3,infko_f-black_spinal_cord_pcr3,infko_f-black_spinal_cord,infko_f-black_spinal_cord_pcr3
D11,pcr1,D11-pcr1,infar_m-black_spinal_cord_pcr1,infar_m-red_spinal_cord,infar_m-red_spinal_cord_pcr1
D11,pcr2,D11-pcr2,infar_f-red_blood_pcr2,infko_m-red_spinal_cord,infko_m-red_spinal_cord_pcr2
D11,pcr3,D11-pcr3,infko_m-red_spinal_cord_pcr3,infko_m-red_spinal_cord,infko_m-red_spinal_cord_pcr3
D12,pcr1,D12-pcr1,infko_f-black_spinal_cord_pcr1,infar_m-black_spinal_cord,infar_m-black_spinal_cord_pcr1
D12,pcr2,D12-pcr2,infar_m-red_blood_pcr2,infko_m-black_spinal_cord,infko_m-black_spinal_cord_pcr2
D12,pcr3,D12-pcr3,infko_m-black_spinal_cord_pcr3,infko_m-black_spinal_cord,infko_m-black_spinal_cord_pcr3
D2,pcr1,D2-pcr1,infko_m-black_liver_pcr1,infko_m-red_liver,infko_m-red_liver_pcr1
D2,pcr2,D2-pcr2,infko_f-black_spinal_cord_pcr2,infar_m-red_spleen,infar_m-red_spleen_pcr2
D2,pcr3,D2-pcr3,infar_m-red_spleen_pcr3,infar_m-red_spleen,infar_m-red_spleen_pcr3
D3,pcr1,D3-pcr1,infar_f-red_spleen_pcr1,infko_m-black_liver,infko_m-black_liver_pcr1
D3,pcr2,D3-pcr2,infko_m-red_spinal_cord_pcr2,infar_m-black_spleen,infar_m-black_spleen_pcr2
D3,pcr3,D3-pcr3,infar_m-black_spleen_pcr3,infar_m-black_spleen,infar_m-black_spleen_pcr3
D4,pcr1,D4-pcr1,infar_m-red_spleen_pcr1,infar_f-red_spleen,infar_f-red_spleen_pcr1
D4,pcr2,D4-pcr2,infko_m-black_spinal_cord_pcr2,infko_f-black_spleen,infko_f-black_spleen_pcr2
D4,pcr3,D4-pcr3,infko_f-black_spleen_pcr3,infko_f-black_spleen,infko_f-black_spleen_pcr3
D5,pcr1,D5-pcr1,infar_m-black_spleen_pcr1,infar_m-red_spleen,infar_m-red_spleen_pcr1
D5,pcr2,D5-pcr2,infar_f-red_bone_marrow_pcr2,infko_m-red_spleen,infko_m-red_spleen_pcr2
D5,pcr3,D5-pcr3,infko_m-red_spleen_pcr3,infko_m-red_spleen,infko_m-red_spleen_pcr3
D6,pcr1,D6-pcr1,infko_f-black_spleen_pcr1,infar_m-black_spleen,infar_m-black_spleen_pcr1
D6,pcr2,D6-pcr2,infar_m-red_bone_marrow_pcr2,infko_m-black_spleen,infko_m-black_spleen_pcr2
D6,pcr3,D6-pcr3,infko_m-black_spleen_pcr3,infko_m-black_spleen,infko_m-black_spleen_pcr3
D7,pcr1,D7-pcr1,infko_m-red_spleen_pcr1,infko_f-black_spleen,infko_f-black_spleen_pcr1
D7,pcr2,D7-pcr2,infar_m-black_bone_marrow_pcr2,infar_f-red_spinal_cord,infar_f-red_spinal_cord_pcr2
D7,pcr3,D7-pcr3,infar_f-red_spinal_cord_pcr3,infar_f-red_spinal_cord,infar_f-red_spinal_cord_pcr3
D8,pcr1,D8-pcr1,infko_m-black_spleen_pcr1,infko_m-red_spleen,infko_m-red_spleen_pcr1
D8,pcr2,D8-pcr2,infko_f-black_bone_marrow_pcr2,infar_m-red_spinal_cord,infar_m-red_spinal_cord_pcr2
D8,pcr3,D8-pcr3,infar_m-red_spinal_cord_pcr3,infar_m-red_spinal_cord,infar_m-red_spinal_cord_pcr3
D9,pcr1,D9-pcr1,infar_f-red_spinal_cord_pcr1,infko_m-black_spleen,infko_m-black_spleen_pcr1
D9,pcr2,D9-pcr2,infko_m-red_bone_marrow_pcr2,infar_m-black_spinal_cord,infar_m-black_spinal_cord_pcr2
D9,pcr3,D9-pcr3,infar_m-black_spinal_cord_pcr3,infar_m-black_spinal_cord,infar_m-black_spinal_cord_pcr3
E1,pcr1,E1-pcr1,infko_m-red_spinal_cord_pcr1,infko_f-black_spinal_cord,infko_f-black_spinal_cord_pcr1
E1,pcr2,E1-pcr2,infar_m-black_blood_pcr2,infar_f-red_bone_marrow,infar_f-red_bone_marrow_pcr2
E1,pcr3,E1-pcr3,infar_f-red_bone_marrow_pcr3,infar_f-red_bone_marrow,infar_f-red_bone_marrow_pcr3
E10,pcr1,E10-pcr1,infar_m-red_blood_pcr1,infar_f-red_blood,infar_f-red_blood_pcr1
E10,pcr2,E10-pcr2,spinal_cord_ifn--_red_needle_e10_pcr2,infko_f-black_blood,infko_f-black_blood_pcr2
E10,pcr3,E10-pcr3,blood_meal_control_2_pcr3,blood_meal_control_2,blood_meal_control_2_pcr3
E11,pcr1,E11-pcr1,infar_m-black_blood_pcr1,infar_m-red_blood,infar_m-red_blood_pcr1
E11,pcr2,E11-pcr2,spleen_fn--_red-b-red_transmission_pcr2,infko_m-red_blood,infko_m-red_blood_pcr2
E11,pcr3,E11-pcr3,mosquito_9_pcr3,mosquito_9,mosquito_9_pcr3
E12,pcr1,E12-pcr1,infko_f-black_blood_pcr1,infar_m-black_blood,infar_m-black_blood_pcr1
E12,pcr2,E12-pcr2,mosquito_19_e12_pcr2,infko_m-black_blood,infko_m-black_blood_pcr2
E12,pcr3,E12-pcr3,mosquito_19_pcr3,mosquito_19,mosquito_19_pcr3
E2,pcr1,E2-pcr1,infko_m-black_spinal_cord_pcr1,infko_m-red_spinal_cord,infko_m-red_spinal_cord_pcr1
E2,pcr2,E2-pcr2,infko_f-black_blood_pcr2,infar_m-red_bone_marrow,infar_m-red_bone_marrow_pcr2
E2,pcr3,E2-pcr3,infar_m-red_bone_marrow_pcr3,infar_m-red_bone_marrow,infar_m-red_bone_marrow_pcr3
E3,pcr1,E3-pcr1,infar_f-red_bone_marrow_pcr1,infko_m-black_spinal_cord,infko_m-black_spinal_cord_pcr1
E3,pcr2,E3-pcr2,infko_m-red_blood_pcr2,infar_m-black_bone_marrow,infar_m-black_bone_marrow_pcr2
E3,pcr3,E3-pcr3,infar_m-black_bone_marrow_pcr3,infar_m-black_bone_marrow,infar_m-black_bone_marrow_pcr3
E4,pcr1,E4-pcr1,infar_m-red_bone_marrow_pcr1,infar_f-red_bone_marrow,infar_f-red_bone_marrow_pcr1
E4,pcr2,E4-pcr2,infko_m-black_blood_pcr2,infko_f-black_bone_marrow,infko_f-black_bone_marrow_pcr2
E4,pcr3,E4-pcr3,infko_f-black_bone_marrow_pcr3,infko_f-black_bone_marrow,infko_f-black_bone_marrow_pcr3
E5,pcr1,E5-pcr1,infar_m-black_bone_marrow_pcr1,infar_m-red_bone_marrow,infar_m-red_bone_marrow_pcr1
E5,pcr2,E5-pcr2,blood_meal_control_1_pcr2,infko_m-red_bone_marrow,infko_m-red_bone_marrow_pcr2
E5,pcr3,E5-pcr3,infko_m-red_bone_marrow_pcr3,infko_m-red_bone_marrow,infko_m-red_bone_marrow_pcr3
E6,pcr1,E6-pcr1,infko_f-black_bone_marrow_pcr1,infar_m-black_bone_marrow,infar_m-black_bone_marrow_pcr1
E6,pcr2,E6-pcr2,blood_meal_control_2_pcr2,infko_m-black_bone_marrow,infko_m-black_bone_marrow_pcr2
E6,pcr3,E6-pcr3,infko_m-black_bone_marrow_pcr3,infko_m-black_bone_marrow,infko_m-black_bone_marrow_pcr3
E7,pcr1,E7-pcr1,infko_m-red_bone_marrow_pcr1,infko_f-black_bone_marrow,infko_f-black_bone_marrow_pcr1
E7,pcr2,E7-pcr2,mosquito_9_pcr2,infar_f-red_blood,infar_f-red_blood_pcr2
E7,pcr3,E7-pcr3,infar_m-black_blood_pcr3,infar_m-black_blood,infar_m-black_blood_pcr3
E8,pcr1,E8-pcr1,infko_m-black_bone_marrow_pcr1,infko_m-red_bone_marrow,infko_m-red_bone_marrow_pcr1
E8,pcr2,E8-pcr2,mosquito_19_e8_pcr2,infar_m-red_blood,infar_m-red_blood_pcr2
E8,pcr3,E8-pcr3,infko_m-black_blood_pcr3,infko_m-black_blood,infko_m-black_blood_pcr3
E9,pcr1,E9-pcr1,infar_f-red_blood_pcr1,infko_m-black_bone_marrow,infko_m-black_bone_marrow_pcr1
E9,pcr2,E9-pcr2,brain_ifn--_red_needle_e9_pcr2,infar_m-black_blood,infar_m-black_blood_pcr2
E9,pcr3,E9-pcr3,blood_meal_control_1_pcr3,blood_meal_control_1,blood_meal_control_1_pcr3
F1,pcr1,F1-pcr1,infko_m-red_blood_pcr1,infko_f-black_blood,infko_f-black_blood_pcr1
F1,pcr2,F1-pcr2,brain_ifn--_red_needle_f1_pcr2,blood_meal_control_1,blood_meal_control_1_pcr2
F1,pcr3,F1-pcr3,mosquito_1_-_101817_pcr3,mosquito_1_-_101817,mosquito_1_-_101817_pcr3
F10,pcr1,F10-pcr1,reproductive_ifn--_red_needle_f10_pcr1,mosquito_14,mosquito_14_pcr1
F10,pcr2,F10-pcr2,spleen_ifn--_red_needle_pcr2,spleen_ifn--_red_needle,spleen_ifn--_red_needle_pcr2
F10,pcr3,F10-pcr3,kidneys_fn--_red-b-red_transmission_pcr3,kidneys_fn--_red-b-red_transmission,kidneys_fn--_red-b-red_transmission_pcr3
F11,pcr1,F11-pcr1,liver_ifn--_red_needle_f11_pcr1,mosquito_16,mosquito_16_pcr1
F11,pcr2,F11-pcr2,brain_ifn--_red-b-red_transmission_pcr2,brain_ifn--_red-b-red_transmission,brain_ifn--_red-b-red_transmission_pcr2
F11,pcr3,F11-pcr3,liver_fn--_red-b-red_transmission_pcr3,liver_fn--_red-b-red_transmission,liver_fn--_red-b-red_transmission_pcr3
F12,pcr1,F12-pcr1,blood_ifn--_red_needle_f12_pcr1,mosquito_18,mosquito_18_pcr1
F12,pcr2,F12-pcr2,spinal_cord_fn--_red-b-red_transmission_pcr2,spinal_cord_fn--_red-b-red_transmission,spinal_cord_fn--_red-b-red_transmission_pcr2
